time,posx,posy,posz,rotx,roty,rotz,rotw
34.56299,0.3,0.2791581,9.220126,0.0226033,-0.004598673,0.01886407,0.999556
34.57764,0.3,0.312313,8.961164,0.04671065,-0.009427625,0.04011648,0.9980581
34.59131,0.3,0.3422378,8.718967,0.06606258,-0.0132043,0.05877559,0.9959954
34.60474,0.3,0.3706699,8.480221,0.08151634,-0.01608899,0.07513347,0.9937058
34.6189,0.3,0.3996239,8.227456,0.09360673,-0.01814388,0.08956072,0.9914068
34.63232,0.3,0.4261046,7.987829,0.1009356,-0.01910552,0.1005212,0.9896173
34.64624,0.3,0.4525461,7.73996,0.104304,-0.0191026,0.1083152,0.988445
34.6604,0.3,0.4784044,7.487662,0.1035238,-0.01808325,0.1124835,0.9880806
34.67432,0.3,0.5027879,7.239563,0.09266195,-0.01470482,0.1073941,0.9897798
34.68799,0.3,0.5257502,6.996066,0.08102636,-0.01106771,0.09868963,0.9917523
34.70215,0.3,0.5484945,6.743432,0.06988336,-0.007415046,0.08890696,0.9935577
34.71582,0.3,0.5694524,6.498858,0.0600696,-0.004012254,0.07920904,0.9950384
34.72998,0.3,0.5901209,6.243997,0.05094079,-0.0006203721,0.06961801,0.9962721
34.7439,0.3,0.6094039,5.992943,0.04304649,0.002595185,0.06045798,0.9972388
34.75757,0.3,0.6273553,5.745442,0.0363439,0.005650396,0.05188527,0.9979755
34.77173,0.3,0.6449098,5.487081,0.03050206,0.008689662,0.04379511,0.998537
34.78589,0.3,0.6614081,5.228602,0.0257947,0.01163549,0.03631568,0.9989396
34.79956,0.3,0.6763353,4.980689,0.02230854,0.01445354,0.02961461,0.9992079
34.81299,0.3,0.6900377,4.738003,0.01985429,0.01724202,0.02371449,0.9993729
34.82715,0.3,0.7034585,4.482419,0.01822203,0.02026581,0.0185237,0.9994569
34.84106,0.3,0.7156188,4.230589,0.01753114,0.02337073,0.01411247,0.9994735
34.85474,0.3,0.7265726,3.982516,0.01767638,0.02659413,0.01050125,0.9994349
34.86841,0.3,0.7365416,3.733543,0.01861398,0.03012321,0.007671227,0.9993435
34.88208,0.3,0.7455261,3.484491,0.02028949,0.03401956,0.005595013,0.9991995
34.89648,0.3,0.7539268,3.221095,0.02282862,0.03869264,0.004246429,0.9989814
34.91064,0.3,0.7611197,2.961,0.02609676,0.0442226,0.003575916,0.9986744
34.92432,0.3,0.7670625,2.708937,0.03004998,0.0507961,0.003487711,0.9982508
34.93823,0.3,0.7721002,2.449956,0.03497425,0.05910107,0.003874566,0.9976317
34.9519,0.3,0.7760562,2.194885,0.04107457,0.06963491,0.004578477,0.9967161
34.96582,0.3,0.7790717,1.93662,0.04917602,0.08386372,0.005382478,0.9952486
34.97998,0.3,0.7810931,1.675143,0.06035984,0.1039816,0.005978778,0.9927279
