time,posx,posy,posz,rotx,roty,rotz,rotw
7.433838,-0.9,0.2695587,9.294285,-0.001254789,0.0168531,0.008963519,0.999817
7.44751,-0.9,0.3008374,9.05424,-0.003164134,0.04241814,0.02310763,0.9988277
7.46167,-0.9,0.3321951,8.80493,-0.004895311,0.06525478,0.03696518,0.9971718
7.475342,-0.9,0.3614694,8.563515,-0.006258528,0.08297338,0.04910501,0.9953216
7.489502,-0.9,0.3907512,8.312773,-0.007285078,0.09625713,0.05977237,0.9935335
7.503174,-0.9,0.4180211,8.070374,-0.007874801,0.1038894,0.06807151,0.9922254
7.516846,-0.9,0.4443064,7.827924,-0.008044678,0.1063621,0.07401467,0.9915363
7.530762,-0.9,0.4700499,7.580929,-0.007784705,0.1037427,0.07749137,0.9915503
7.544678,-0.9,0.4947734,7.333781,-0.006685612,0.09137561,0.07586361,0.9929001
7.558594,-0.9,0.5184768,7.086591,-0.005010836,0.07325305,0.07013939,0.9948313
7.57251,-0.9,0.5411601,6.839202,-0.003307007,0.05595439,0.06349529,0.9964068
7.586914,-0.9,0.5635649,6.582497,-0.001577125,0.0389963,0.05657604,0.9976352
7.600342,-0.9,0.5834665,6.3426,1.936411E-05,0.02409347,0.05003073,0.998457
7.614502,-0.9,0.6034247,6.089082,0.001642252,0.009317018,0.04362026,0.9990034
7.628174,-0.9,0.6216926,5.843657,0.003181902,-0.004051477,0.03761342,0.9992791
7.64209,-0.9,0.6392755,5.593145,0.004708941,-0.01680785,0.0319721,0.9993364
7.656006,-0.9,0.6558384,5.341843,0.006215274,-0.02878939,0.02676264,0.9992079
7.669922,-0.9,0.6713811,5.089848,0.007713801,-0.04010534,0.02203346,0.9989228
7.683594,-0.9,0.6856578,4.841738,0.009206761,-0.05072432,0.01784519,0.9985108
7.69751,-0.9,0.6991783,4.589494,0.01076754,-0.06124109,0.01418606,0.9979641
7.711182,-0.9,0.7114682,4.341471,0.01236835,-0.07148671,0.01108969,0.9973032
7.725342,-0.9,0.7231591,4.08566,0.01414547,-0.08230614,0.008546499,0.9964701
7.739746,-0.9,0.7339679,3.826854,0.01613385,-0.09389904,0.00656857,0.9954293
7.753174,-0.9,0.7430596,3.585996,0.01819973,-0.105585,0.005141143,0.9942304
7.76709,-0.9,0.7514797,3.334336,0.02050774,-0.1190498,0.004233615,0.9926674
7.781006,-0.9,0.7588797,3.079713,0.02309201,-0.1344444,0.003807748,0.9906448
7.794922,-0.9,0.7652597,2.82302,0.02606474,-0.1525631,0.00381197,0.9879426
7.809082,-0.9,0.7707045,2.560116,0.02964552,-0.174767,0.004190494,0.9841545
7.822754,-0.9,0.7749594,2.306037,0.03386088,-0.2011751,0.00483111,0.978958
7.83667,-0.9,0.7782791,2.048129,0.03923751,-0.2349242,0.005657812,0.9712049
7.850586,-0.9,0.7805787,1.791762,0.04613992,-0.2780417,0.006541987,0.959438
7.864502,-0.9,0.7818583,1.535694,0.05506314,-0.3337687,0.007313052,0.941017
7.878418,-0.9,0.7821178,1.27835,0.05506314,-0.3337687,0.007313052,0.941017
7.892334,-0.9,0.7813572,1.015921,0.05506314,-0.3337687,0.007313052,0.941017
7.906006,-0.9,0.7796166,0.7578846,0.05506314,-0.3337687,0.007313052,0.941017
7.920166,-0.9,0.7767758,0.4891962,0.05506314,-0.3337687,0.007313052,0.941017
7.934326,-0.9,0.7728789,0.2204909,0.05506314,-0.3337687,0.007313052,0.941017
7.947998,-0.9,0.7681141,-0.0392063,0.05506314,-0.3337687,0.007313052,0.941017
7.961914,-0.9,0.7622532,-0.3039944,0.05506314,-0.3337687,0.007313052,0.941017
7.975586,-0.9,0.7555016,-0.5650681,0.05506314,-0.3337687,0.007313052,0.941017
7.989258,-0.9,0.7477655,-0.8264574,0.05506314,-0.3337687,0.007313052,0.941017
8.003174,-0.9,0.73888,-1.092782,0.05506314,-0.3337687,0.007313052,0.941017
8.01709,-0.9,0.7289745,-1.358279,0.05506314,-0.3337687,0.007313052,0.941017
8.031006,-0.9,0.718049,-1.622823,0.05506314,-0.3337687,0.007313052,0.941017
8.044678,-0.9,0.7063217,-1.88135,0.05506314,-0.3337687,0.007313052,0.941017
8.058838,-0.9,0.6931376,-2.148939,0.05506314,-0.3337687,0.007313052,0.941017
8.07251,-0.9,0.6794059,-2.406447,0.05506314,-0.3337687,0.007313052,0.941017
8.087158,-0.9,0.6636009,-2.681879,0.05506314,-0.3337687,0.007313052,0.941017
8.100342,-0.9,0.6484099,-2.930957,0.05506314,-0.3337687,0.007313052,0.941017
8.114014,-0.9,0.6316893,-3.319696,0.05506314,-0.3337687,0.007313052,0.941017
8.12793,-0.9,0.613659,-4.444384,0.05506314,-0.3337687,0.007313052,0.941017
8.141602,-0.9,0.5949516,-6.95035,0.05506314,-0.3337687,0.007313052,0.941017
8.155762,-0.9,0.5745381,-11.73385,0.05506314,-0.3337687,0.007313052,0.941017
8.169678,-0.9,0.5534475,-19.3202,0.05506314,-0.3337687,0.007313052,0.941017
8.18335,-0.9,0.5317336,-30.25316,0.05506314,-0.3337687,0.007313052,0.941017
8.197021,-0.9,0.509035,-45.31389,0.05506314,-0.3337687,0.007313052,0.941017
8.211182,-0.9,0.4844878,-65.98502,0.05506314,-0.3337687,0.007313052,0.941017
8.225098,-0.9,0.4593349,-92.04885,0.05506314,-0.3337687,0.007313052,0.941017
8.239014,-0.9,0.4331618,-124.5283,0.05506314,-0.3337687,0.007313052,0.941017
8.25293,-0.9,0.4059687,-164.135,0.05506314,-0.3337687,0.007313052,0.941017
8.266846,-0.9,0.3777554,-211.5805,0.05506314,-0.3337687,0.007313052,0.941017
8.281006,-0.9,0.3480002,-268.6401,0.05506314,-0.3337687,0.007313052,0.941017
8.294678,-0.9,0.3182688,-332.837,0.05506314,-0.3337687,0.007313052,0.941017
8.308594,-0.9,0.2869954,-408.0727,0.05506314,-0.3337687,0.007313052,0.941017
8.322266,-0.9,0.2552772,-492.3931,0.05506314,-0.3337687,0.007313052,0.941017
