time,posx,posy,posz,rotx,roty,rotz,rotw
152.0736,0.3,0.2604933,6.868941,-0.0004616948,0.007350546,0.003612457,0.9999664
152.0841,0.3,0.2897435,6.730301,-0.001707561,0.02746679,0.01359223,0.9995289
152.0958,0.3,0.3214942,6.576528,-0.002951893,0.04829845,0.02440364,0.9985304
152.1071,0.3,0.3515948,6.427368,-0.003984448,0.06661121,0.03447361,0.9971753
152.1185,0.3,0.3810484,6.278006,-0.00481809,0.08274562,0.0438725,0.9955929
152.1296,0.3,0.4092392,6.131666,-0.005417923,0.0961615,0.05227255,0.9939775
152.1413,0.3,0.4380655,5.978357,-0.005801448,0.1074938,0.05994696,0.9923798
152.1511,0.3,0.4616302,5.850036,-0.005917468,0.1147419,0.06565443,0.9912058
152.162,0.3,0.4872707,5.707095,-0.005834445,0.1203951,0.07061791,0.990194
152.1742,0.3,0.515052,5.548102,-0.005475354,0.1237097,0.07464116,0.9894921
152.1854,0.3,0.5397981,5.402488,-0.004903799,0.124076,0.07706488,0.9892634
152.1961,0.3,0.5629966,5.262349,-0.004098123,0.1215455,0.07774206,0.9895282
152.2069,0.3,0.5855387,5.122458,-0.002613472,0.1111475,0.07407633,0.9910359
152.2179,0.3,0.6078516,4.980115,-0.001153321,0.1010729,0.0693095,0.9924611
152.2293,0.3,0.6303681,4.832148,0.0003249862,0.09117224,0.06414852,0.9937668
152.2413,0.3,0.6530564,4.678145,0.001822422,0.08153827,0.05879074,0.9949331
152.2521,0.3,0.6730133,4.53821,0.003141924,0.07340441,0.05375845,0.9958473
152.2632,0.3,0.6927283,4.395397,0.004458162,0.06574738,0.04885377,0.9966297
152.2742,0.3,0.71154,4.254459,0.005723373,0.05884459,0.04412724,0.997275
152.2851,0.3,0.7294218,4.115624,0.006940644,0.05270007,0.03961417,0.9978002
152.296,0.3,0.7468299,3.975298,0.008144747,0.04717421,0.03527817,0.9982303
152.3065,0.3,0.7627821,3.841649,0.009266587,0.04255005,0.03124232,0.9985628
152.3183,0.3,0.7801338,3.690055,0.01052836,0.03806023,0.02722113,0.9988492
152.3292,0.3,0.7953568,3.551081,0.01167079,0.03465016,0.02351884,0.9990546
152.3402,0.3,0.8101118,3.410345,0.01283078,0.03188156,0.0200827,0.9992075
152.3511,0.3,0.824028,3.271375,0.01398552,0.02980866,0.01693407,0.9993143
152.3626,0.3,0.838067,3.123929,0.01523687,0.02834211,0.01400823,0.999384
152.3741,0.3,0.8512471,2.977852,0.01650718,0.02759542,0.01136356,0.9994183
152.3849,0.3,0.8629752,2.840347,0.01774311,0.02754933,0.009058049,0.9994219
152.3962,0.3,0.8745279,2.696905,0.01909743,0.02813535,0.007043619,0.9993969
152.407,0.3,0.8849058,2.55984,0.02046898,0.02931354,0.005344491,0.9993464
152.4179,0.3,0.894703,2.421737,0.02194925,0.03111895,0.0039412,0.9992669
152.4301,0.3,0.9048338,2.267984,0.02374727,0.03379858,0.002810957,0.9991426
152.4411,0.3,0.9133236,2.128204,0.02554221,0.03686699,0.001972717,0.9989918
152.4514,0.3,0.9206065,1.998314,0.02738591,0.0403042,0.001400614,0.9988111
152.4631,0.3,0.9281945,1.850095,0.02975245,0.04494055,0.001080055,0.9985459
152.4738,0.3,0.9343814,1.716455,0.0321763,0.04980274,0.0009830224,0.9982402
152.4848,0.3,0.940155,1.577292,0.03505846,0.05560329,0.001083409,0.9978366
152.496,0.3,0.9452735,1.437334,0.03841504,0.06235403,0.001351965,0.9973136
152.5071,0.3,0.9496752,1.297941,0.04233236,0.07004017,0.001744132,0.996644
152.5179,0.3,0.9532737,1.163072,0.046793,0.07867822,0.002213661,0.9957988
152.5289,0.3,0.9562489,1.026822,0.05216576,0.08895373,0.002703198,0.9946651
152.5404,0.3,0.9586475,0.8837669,0.05902136,0.1018566,0.003133028,0.9930418
152.5511,0.3,0.9601939,0.752094,0.06678715,0.1162169,0.003441347,0.9909699
