time,posx,posy,posz,rotx,roty,rotz,rotw
8.503632,0.3,0.2644836,6.85236,0.008567948,-0.001679247,0.007092881,0.9999368
8.515472,0.3,0.2973351,6.701034,0.02754487,-0.005362151,0.02303318,0.9993408
8.527039,0.3,0.3286588,6.55339,0.04469879,-0.008637381,0.03829746,0.9982288
8.537689,0.3,0.3568337,6.417593,0.05898656,-0.01130313,0.05180148,0.9968498
8.548492,0.3,0.3847568,6.280005,0.07176536,-0.01360388,0.06453536,0.9952386
8.559937,0.3,0.4136162,6.134441,0.08322592,-0.01555224,0.07673216,0.9934505
8.57074,0.3,0.4401797,5.997196,0.09196403,-0.01690416,0.0870732,0.991804
8.581665,0.3,0.4663719,5.858575,0.09867184,-0.01776487,0.09593382,0.9903257
8.59259,0.3,0.4918888,5.720099,0.103225,-0.01811224,0.103137,0.9891306
8.603394,0.3,0.5164567,5.583312,0.1056395,-0.01795096,0.1085218,0.9883021
8.615601,0.3,0.5434226,5.428849,0.1059566,-0.0171781,0.1122408,0.9878665
8.626648,0.3,0.5671,5.289176,0.1025521,-0.01560113,0.1123406,0.9882405
8.637787,0.3,0.5902748,5.148333,0.0937688,-0.01273784,0.1069256,0.9897535
8.648621,0.3,0.6121413,5.01145,0.08559355,-0.009963121,0.10015,0.9912338
8.658966,0.3,0.6324024,4.880739,0.07817721,-0.007350093,0.09327049,0.9925396
8.671173,0.3,0.6555308,4.726561,0.06997777,-0.004332556,0.08568688,0.9938522
8.682739,0.3,0.6766672,4.580467,0.0627619,-0.001517429,0.07821065,0.9949582
8.692841,0.3,0.6945076,4.452921,0.05691374,0.0009103972,0.07143713,0.9958197
8.703735,0.3,0.7131024,4.315327,0.0511208,0.003488376,0.06479514,0.9965822
8.715088,0.3,0.7317641,4.172158,0.04565227,0.006127589,0.05820092,0.9972417
8.726593,0.3,0.7499328,4.027117,0.04070299,0.008787623,0.05176027,0.9977911
8.737854,0.3,0.7669908,3.88555,0.03643803,0.01136678,0.04564007,0.9982284
8.748749,0.3,0.7828113,3.74893,0.0328572,0.01385593,0.03994187,0.9985656
8.759583,0.3,0.7978775,3.613561,0.02982669,0.0163021,0.03464128,0.9988216
8.770966,0.3,0.8129922,3.471846,0.02720984,0.01886407,0.02962861,0.9990125
8.783112,0.3,0.8283116,3.321336,0.02504166,0.02160672,0.02485883,0.9991437
8.792908,0.3,0.8400593,3.200325,0.02371598,0.0238606,0.02072468,0.9992191
8.804108,0.3,0.8528253,3.062315,0.02269676,0.02647193,0.01696438,0.9992479
8.815643,0.3,0.8652321,2.920628,0.02216127,0.02922934,0.01357206,0.9992349
8.827454,0.3,0.8771544,2.775719,0.02212578,0.03215389,0.01057569,0.999182
8.838043,0.3,0.8871735,2.645891,0.02250641,0.03490772,0.008058261,0.9991046
8.848938,0.3,0.8968194,2.512146,0.0232941,0.0379095,0.005982083,0.9989917
8.860016,0.3,0.9059388,2.37605,0.02448769,0.04118778,0.004330219,0.9988419
8.871857,0.3,0.9149187,2.230438,0.02620442,0.04501859,0.003093805,0.9986376
8.882019,0.3,0.9219933,2.105414,0.02803232,0.04864722,0.002257502,0.99842
8.893005,0.3,0.9289843,1.970209,0.03039037,0.05299747,0.001795202,0.9981305
8.904449,0.3,0.9355405,1.829307,0.03327526,0.05809713,0.001693155,0.9977548
8.915833,0.3,0.9413268,1.689023,0.03661259,0.06394044,0.001920405,0.9972801
8.926147,0.3,0.9459371,1.561823,0.04007958,0.0700178,0.002411635,0.9967374
8.937317,0.3,0.9502506,1.424171,0.04437247,0.07767284,0.003120191,0.9959861
8.948456,0.3,0.9538494,1.286802,0.04929815,0.08667938,0.003985671,0.9950078
8.961609,0.3,0.9571953,1.124634,0.05615286,0.09964044,0.004898231,0.9934257
8.970856,0.3,0.9589616,1.010618,0.06188645,0.1107503,0.005811406,0.9919025
8.982544,0.3,0.9605022,0.86673,0.07049079,0.1277122,0.006452587,0.9892821
8.992859,0.3,0.9612198,0.7401256,0.07983565,0.1464341,0.006738245,0.9859706
