time,posx,posy,posz,rotx,roty,rotz,rotw
129.5507,0.3,0.2511203,9.886999,0.0001026271,0.0004328428,-0.003215384,0.9999948
129.5646,0.3,0.3475323,9.624541,0.008630468,0.03642932,-0.2704704,0.9620001
129.5786,0.3,0.4417172,9.359461,0.01552641,0.06678046,-0.5105165,0.8571302
129.5924,0.3,0.5312578,9.098532,0.02006081,0.0883849,-0.698524,0.7098238
129.6063,0.3,0.6185713,8.834867,0.02238307,0.1015445,-0.8323683,0.5443811
129.6204,0.3,0.7035779,8.568501,0.02284274,0.1073378,-0.915851,0.3862302
129.634,0.3,0.7834003,8.308883,0.02204979,0.1078646,-0.9596519,0.2587417
129.6481,0.3,0.8623148,8.042021,0.02059369,0.105448,-0.9796041,0.1698013
129.6619,0.3,0.9368507,7.779648,0.01890042,0.1017122,-0.9863542,0.1280738
129.6757,0.3,1.008407,7.517147,-0.01529271,-0.08931132,0.9896803,-0.1110071
129.6895,0.3,1.076983,7.254035,-0.0117177,-0.07706865,0.9920291,-0.09900247
129.7034,0.3,1.143147,6.988075,-0.008255549,-0.06558125,0.9938927,-0.08836435
129.7175,0.3,1.207358,6.716811,-0.004864913,-0.05483348,0.9954152,-0.07822001
129.7313,0.3,1.266889,6.452323,-0.001684163,-0.04531209,0.9966106,-0.06863835
129.745,0.3,1.322953,6.190314,0.001347593,-0.03682479,0.9975414,-0.05961087
129.7589,0.3,1.377012,5.923651,0.004287508,-0.02916028,0.9982603,-0.05106515
129.7727,0.3,1.427603,5.659123,0.007095769,-0.02252253,0.9987906,-0.04312382
129.7866,0.3,1.475623,5.391222,0.009816507,-0.01675598,0.9991698,-0.0358129
129.8005,0.3,1.52061,5.122338,0.01250324,-0.01187575,0.9994249,-0.02919856
129.8146,0.3,1.562919,4.850183,0.01521612,-0.007794339,0.9995821,-0.0233133
129.8286,0.3,1.602141,4.577724,0.01797284,-0.004491906,0.9996627,-0.01820216
129.8423,0.3,1.637374,4.312215,0.02074688,-0.001933976,0.9996861,-0.01391106
129.856,0.3,1.669679,4.046893,0.02366163,6.035149E-05,0.9996657,-0.01042456
129.8699,0.3,1.699555,3.776646,0.0268782,0.001630795,0.9996076,-0.00772209
129.8837,0.3,1.726176,3.510226,0.03042627,0.00280965,0.9995164,-0.00578081
129.8976,0.3,1.750013,3.242314,0.03451399,0.00374501,0.9993868,-0.004565391
129.9115,0.3,1.770817,2.973851,0.03940478,0.004644888,0.9992044,-0.004023367
129.9255,0.3,1.788731,2.700699,0.04553264,0.005720645,0.9989381,-0.00408272
129.9395,0.3,1.803443,2.429125,0.05313464,0.007104879,0.9985514,-0.00462945
129.9534,0.3,1.815122,2.15733,0.06301359,0.008965485,0.9979572,-0.00551869
