time,posx,posy,posz,rotx,roty,rotz,rotw
246.5941,0.3,0.2654729,9.766341,0.01209596,-0.002489304,0.01010662,0.9998727
246.608,0.3,0.2974298,9.504674,0.03613999,-0.007387661,0.03064401,0.9988495
246.6219,0.3,0.3283666,9.242612,0.05738612,-0.01163295,0.05027349,0.9970176
246.6357,0.3,0.3580253,8.982488,0.07497103,-0.01503025,0.06801249,0.9947501
246.6498,0.3,0.3871799,8.717416,0.08881112,-0.01754006,0.08360495,0.9923785
246.6636,0.3,0.4148163,8.456578,0.09816048,-0.01901198,0.09613307,0.9903341
246.6772,0.3,0.4412192,8.197697,0.1032195,-0.01946555,0.1053409,0.9888732
246.6912,0.3,0.4670825,7.933743,0.1041949,-0.01893864,0.1110862,0.9881521
246.705,0.3,0.4917121,7.671286,0.09814452,-0.01678877,0.1104029,0.9888868
246.7189,0.3,0.5155442,7.406182,0.08590677,-0.01314012,0.1027378,0.9909048
246.7329,0.3,0.5385517,7.138844,0.07441107,-0.009564929,0.0932089,0.992816
246.7466,0.3,0.5599613,6.879043,0.06414022,-0.006226185,0.08349219,0.9944226
246.7606,0.3,0.5809197,6.613197,0.05462482,-0.003005079,0.07380299,0.9957712
246.7745,0.3,0.6006715,6.349624,0.04624478,-6.075158E-06,0.06445476,0.9968485
246.7883,0.3,0.6192432,6.086664,0.03898847,0.002840082,0.05561062,0.997687
246.8022,0.3,0.6369637,5.819838,0.03274412,0.005575355,0.04729499,0.9983286
246.8164,0.3,0.653948,5.547645,0.02749723,0.008227766,0.03953538,0.9988059
246.8302,0.3,0.6694775,5.282337,0.02344643,0.01067956,0.03250496,0.9991395
246.8442,0.3,0.6842529,5.012755,0.02037926,0.01308752,0.02618575,0.9993637
246.8579,0.3,0.6976449,4.750449,0.01836572,0.01540868,0.02066611,0.999499
246.8716,0.3,0.7100524,4.48834,0.01727832,0.01778542,0.01594054,0.9995654
246.8854,0.3,0.7215729,4.223568,0.01705063,0.02028136,0.01199833,0.9995769
246.8992,0.3,0.7320911,3.95828,0.01764852,0.02301521,0.008837949,0.9995403
246.9131,0.3,0.7416868,3.690264,0.01905751,0.02606874,0.006442961,0.9994577
246.9271,0.3,0.7503331,3.419311,0.02124894,0.02957639,0.004789329,0.9993252
246.941,0.3,0.7578796,3.151012,0.02416888,0.03369378,0.003830715,0.9991326
246.955,0.3,0.7644061,2.882726,0.02788819,0.03868756,0.003495567,0.998856
246.9688,0.3,0.7698687,2.61653,0.03246637,0.04481879,0.003683211,0.9984607
246.9825,0.3,0.7743289,2.349654,0.03814037,0.05271141,0.004265692,0.9978721
