time,posx,posy,posz,rotx,roty,rotz,rotw
108.4725,-0.9,0.3012909,11.07761,0.02535498,-0.00136743,0.1501012,0.9883446
108.4866,-0.9,0.3969552,10.76996,0.06830338,-0.003972533,0.413213,0.9080605
108.5004,-0.9,0.4879494,10.46756,0.09956135,-0.0062788,0.6305303,0.7697271
108.5143,-0.9,0.5767294,10.16225,0.1187191,-0.007916556,0.7926534,0.5979496
108.5281,-0.9,0.6617376,9.859497,0.1266436,-0.008629371,0.8969117,0.4235992
108.542,-0.9,0.7444786,9.553627,0.1265704,-0.008532785,0.9546588,0.2693209
108.5559,-0.9,0.8241867,9.24714,0.1217481,-0.007870485,0.9806106,0.1533571
108.5698,-0.9,0.900862,8.940248,0.1148614,-0.007008058,0.9897171,0.08495845
108.5837,-0.9,0.9745045,8.632802,0.1021524,-0.006171822,0.9928401,0.0616075
108.5974,-0.9,1.043902,8.329832,0.08391345,-0.005601482,0.9950965,0.05205934
108.6115,-0.9,1.112111,8.020139,0.06616415,-0.005193956,0.9967442,0.04578638
108.6254,-0.9,1.176682,7.713742,0.04951383,-0.004828881,0.9979402,0.04050216
108.639,-0.9,1.237166,7.412665,0.0341707,-0.004450493,0.9987691,0.03567772
108.6532,-0.9,1.296725,7.098944,0.019357,-0.004021629,0.9993222,0.03105404
108.6669,-0.9,1.35125,6.794296,0.006039957,-0.003562321,0.9996176,0.02675124
108.681,-0.9,1.404636,6.478333,-0.006673821,-0.003061579,0.9997157,0.02268222
108.6952,-0.9,1.454882,6.16128,-0.0184789,-0.002533623,0.9996471,0.0189124
108.7086,-0.9,1.499629,5.860696,-0.02897013,-0.002002013,0.9994574,0.01555084
108.7224,-0.9,1.542655,5.553274,-0.0393872,-0.001471298,0.9991443,0.01254201
108.7362,-0.9,1.582702,5.246189,-0.04949543,-0.000895759,0.9987248,0.009910089
108.7499,-0.9,1.619454,4.940351,-0.05933123,-0.0002196084,0.9982088,0.007677213
108.764,-0.9,1.654433,4.624305,-0.06950741,0.0005232241,0.9975643,0.00582818
108.7782,-0.9,1.686271,4.308715,-0.08013417,0.001316847,0.9967736,0.00437401
108.7921,-0.9,1.714501,3.997672,-0.0914792,0.002175097,0.9957991,0.003313685
108.8059,-0.9,1.73949,3.687633,-0.1042447,0.003158776,0.9945432,0.002634697
108.8195,-0.9,1.761136,3.382231,-0.1186584,0.004250675,0.9929234,0.002300564
108.8336,-0.9,1.780684,3.064161,-0.1364924,0.005518254,0.9906231,0.002288172
108.8474,-0.9,1.796707,2.755584,-0.1576717,0.006847811,0.9874647,0.002516739
108.8611,-0.9,1.809648,2.449471,-0.1837804,0.008431867,0.9829267,0.002949241
108.8751,-0.9,1.81989,2.136632,-0.217957,0.01032025,0.9758976,0.003491908
108.8888,-0.9,1.826898,1.832382,-0.2621972,0.0125164,0.9649249,0.004007948
