time,posx,posy,posz,rotx,roty,rotz,rotw
32.50623,-0.3,0.270698,9.796177,-0.01985411,-0.00181294,0.005289886,0.9997873
32.52032,-0.3,0.2994887,9.55388,-0.0462475,-0.004271023,0.01261047,0.9988413
32.53424,-0.3,0.3270876,9.314401,-0.06937665,-0.006497415,0.01956337,0.9973776
32.5481,-0.3,0.3537585,9.075644,-0.08887222,-0.008471258,0.02596069,0.9956686
32.56195,-0.3,0.3796239,8.83643,-0.1043791,-0.01017295,0.0316531,0.9939817
32.57593,-0.3,0.4049012,8.594601,-0.1156932,-0.01160231,0.0365244,0.9925454
32.58954,-0.3,0.4287285,8.358948,-0.1224174,-0.01271492,0.04034509,0.9915769
32.60358,-0.3,0.4524896,8.116222,-0.1249526,-0.01358951,0.04316077,0.9911304
32.61743,-0.3,0.4751301,7.87672,-0.1232669,-0.01418763,0.04481132,0.9912598
32.63123,-0.3,0.4968708,7.637831,-0.1117348,-0.01408179,0.04367349,0.992678
32.64508,-0.3,0.517904,7.397169,-0.09689227,-0.01376449,0.04081067,0.9943626
32.65918,-0.3,0.5384812,7.151501,-0.08264634,-0.01354947,0.03744539,0.9957831
32.67279,-0.3,0.5575546,6.913771,-0.06978602,-0.0134433,0.03404549,0.9968902
32.68646,-0.3,0.575931,6.67455,-0.05779691,-0.01343679,0.03068747,0.9977661
32.70044,-0.3,0.593907,6.430172,-0.0465305,-0.0135511,0.0273783,0.9984497
32.71454,-0.3,0.6112096,6.183636,-0.03619839,-0.01380768,0.0241611,0.9989571
32.72833,-0.3,0.6273305,5.942585,-0.02709245,-0.01418634,0.02111024,0.9993094
32.74225,-0.3,0.6427853,5.699325,-0.01890166,-0.01472291,0.01822991,0.9995468
32.75604,-0.3,0.6573026,5.458052,-0.01173739,-0.01542706,0.01554845,0.9996912
32.7702,-0.3,0.671375,5.209904,-0.005335904,-0.0163042,0.01305572,0.9997676
32.78406,-0.3,0.6843299,4.966793,7.190785E-05,-0.01729438,0.01079152,0.9997922
32.79785,-0.3,0.6964277,4.724499,0.004676314,-0.01846378,0.008771218,0.9997801
32.81183,-0.3,0.7078718,4.478202,0.008617932,-0.01985954,0.006995777,0.9997412
32.82562,-0.3,0.7183625,4.234585,0.01189818,-0.02145005,0.005476857,0.9996841
32.83948,-0.3,0.7280959,3.989323,0.01471082,-0.02333579,0.004218312,0.9996105
32.85339,-0.3,0.7370616,3.74272,0.01719627,-0.02560166,0.003220978,0.9995191
32.86707,-0.3,0.7450787,3.50023,0.01940837,-0.02820179,0.002480276,0.9994107
32.88116,-0.3,0.752525,3.250548,0.02162621,-0.03135153,0.001994518,0.9992725
32.89502,-0.3,0.75903,3.005276,0.02395554,-0.03503104,0.001750739,0.9990975
32.90894,-0.3,0.7647529,2.758975,0.02665483,-0.03946025,0.001735471,0.9988641
32.92273,-0.3,0.7696238,2.514165,0.0298814,-0.04478239,0.00192229,0.998548
32.93646,-0.3,0.7736802,2.269818,0.03403951,-0.05134003,0.002287425,0.9980983
32.9505,-0.3,0.7770089,2.019737,0.03970985,-0.05996468,0.002800022,0.9974064
