time,posx,posy,posz,rotx,roty,rotz,rotw
41.87769,-0.9,0.2896561,9.856714,-0.01013581,-0.005967452,-0.0694987,0.9975127
41.89172,-0.9,0.3755093,9.614913,-0.03094366,-0.01839853,-0.2158952,0.9757527
41.90515,-0.9,0.4553297,9.383335,-0.04775743,-0.02879458,-0.3468799,0.9362502
41.91901,-0.9,0.5353322,9.144248,-0.06141904,-0.03763724,-0.4657298,0.8819903
41.93311,-0.9,0.6142864,8.900954,-0.07122298,-0.04448551,-0.5669471,0.8194628
41.94696,-0.9,0.6894579,8.661894,-0.07696368,-0.04912755,-0.6461268,0.7577488
41.96118,-0.9,0.7641261,8.41646,-0.07934136,-0.05202726,-0.7059242,0.701904
41.97479,-0.9,0.833227,8.180999,-0.07873457,-0.05328332,-0.7452728,0.6599472
41.98871,-0.9,0.9014883,7.939492,-0.07577986,-0.05347705,-0.7678475,0.6338832
42.00262,-0.9,0.9673339,7.698125,0.06811065,0.05146213,0.7739421,-0.6274762
42.01666,-0.9,1.03131,7.45378,0.05598075,0.0475054,0.7717205,-0.6317095
42.0307,-0.9,1.092827,7.210546,0.04445984,0.04419294,0.7672437,-0.6382847
42.04449,-0.9,1.150881,6.97216,0.0337281,0.04146466,0.7621567,-0.6451824
42.05811,-0.9,1.205837,6.737505,0.02371256,0.03928622,0.7569296,-0.6518834
42.07251,-0.9,1.261481,6.487192,0.01378049,0.03756812,0.7515277,-0.6584868
42.08649,-0.9,1.312999,6.243074,0.00476347,0.03653618,0.746232,-0.6646655
42.10034,-0.9,1.361663,5.999907,-0.003560841,0.03611178,0.7411261,-0.6703845
42.11414,-0.9,1.407734,5.757145,-0.01130165,0.03632282,0.736257,-0.675632
42.12799,-0.9,1.45162,5.512926,-0.01857483,0.03719444,0.7316485,-0.6804131
42.14215,-0.9,1.493998,5.263801,-0.02555893,0.03876754,0.7273027,-0.6847442
42.1557,-0.9,1.532208,5.025124,-0.03184893,0.04095276,0.7233514,-0.6885284
42.16956,-0.9,1.56891,4.780874,-0.03794717,0.04384625,0.7197492,-0.6918082
42.18341,-0.9,1.603218,4.536844,-0.04376945,0.04741114,0.7165207,-0.6945751
42.19702,-0.9,1.63459,4.298167,-0.04945993,0.0517098,0.7136791,-0.6968085
42.21118,-0.9,1.664775,4.049549,-0.05554064,0.05716622,0.7111619,-0.6984956
42.22473,-0.9,1.691318,3.810725,-0.06161039,0.06337919,0.7090024,-0.6996447
42.23846,-0.9,1.715883,3.568206,-0.06829689,0.07079186,0.7071143,-0.7002239
42.25238,-0.9,1.738375,3.321805,-0.0758407,0.07956477,0.7054263,-0.7002081
42.26654,-0.9,1.758783,3.070596,-0.08462756,0.09006395,0.7038262,-0.6995394
42.2807,-0.9,1.776689,2.820013,-0.0950046,0.1024201,0.7021698,-0.6981704
42.29407,-0.9,1.791297,2.584786,-0.1067716,0.1161814,0.7003476,-0.696143
42.3078,-0.9,1.803985,2.343551,-0.1212797,0.1328994,0.6979597,-0.6931676
42.3222,-0.9,1.814765,2.090559,-0.13987,0.1539091,0.694437,-0.6888438
42.33606,-0.9,1.822692,1.847158,-0.1622247,0.1786299,0.6893864,-0.6830233
42.35004,-0.9,1.828262,1.600851,-0.190815,0.2097159,0.6815017,-0.6746587
42.36383,-0.9,1.831371,1.357162,-0.2268754,0.2484649,0.6692477,-0.6624956
42.37762,-0.9,1.832106,1.112,-0.2268754,0.2484649,0.6692477,-0.6624956
42.39185,-0.9,1.830379,0.8564352,-0.2268754,0.2484649,0.6692477,-0.6624956
42.40558,-0.9,1.826317,0.6101637,-0.2268754,0.2484649,0.6692477,-0.6624956
42.41943,-0.9,1.819835,0.3634112,-0.2268754,0.2484649,0.6692477,-0.6624956
