time,posx,posy,posz,rotx,roty,rotz,rotw
122.5544,-0.9,0.2776378,10.2623,-0.002940034,-0.002741884,0.07654043,0.9970584
122.5684,-0.9,0.3732251,9.98959,-0.01269551,-0.01190525,0.3296969,0.9439264
122.5822,-0.9,0.4649809,9.718863,-0.02142842,-0.01964028,0.5497766,0.8348058
122.5963,-0.9,0.556073,9.440515,-0.02875779,-0.02542377,0.7256556,0.6869866
122.6102,-0.9,0.6425352,9.166577,-0.03425781,-0.02872686,0.8462707,0.530874
122.624,-0.9,0.7252459,8.894794,-0.0381675,-0.02995633,0.9200162,0.3888651
122.6383,-0.9,0.8077445,8.613106,-0.04096041,-0.02976221,0.9603543,0.2741464
122.652,-0.9,0.8837248,8.343122,-0.04292756,-0.02869249,0.9778894,0.2026482
122.6658,-0.9,0.9574168,8.07046,-0.04387746,-0.02704334,0.983616,0.1727514
122.6797,-0.9,1.028741,7.794819,-0.04265177,-0.02415279,0.9868329,0.1541371
122.6936,-0.9,1.097033,7.518647,-0.0418299,-0.02151706,0.9892738,0.1382919
122.7072,-0.9,1.160614,7.249156,-0.04149888,-0.01909179,0.991274,0.12365
122.7212,-0.9,1.223453,6.969266,-0.04169229,-0.01673228,0.9929853,0.1093708
122.7351,-0.9,1.282699,6.691286,-0.04247307,-0.01452337,0.994399,0.09568588
122.7489,-0.9,1.338433,6.415318,-0.04387591,-0.01247078,0.9955266,0.08274205
122.7628,-0.9,1.391641,6.136253,-0.04599189,-0.01054997,0.9963919,0.07054624
122.7767,-0.9,1.441815,5.855864,-0.04887585,-0.008751664,0.9970092,0.05922223
122.791,-0.9,1.490157,5.567646,-0.05266102,-0.007055332,0.9973963,0.04876223
122.8046,-0.9,1.533066,5.294135,-0.05711368,-0.005540107,0.9975707,0.03949724
122.8187,-0.9,1.574836,5.009258,-0.06270733,-0.004117247,0.9975332,0.03127817
122.8322,-0.9,1.611544,4.73938,-0.06902587,-0.002849185,0.9973153,0.02428151
122.8461,-0.9,1.646608,4.459223,-0.0767314,-0.001631641,0.9968802,0.01842931
122.8604,-0.9,1.679441,4.169631,-0.08605523,-0.000412073,0.9961957,0.01373123
122.8741,-0.9,1.708119,3.888839,-0.09661098,0.0007718827,0.9952697,0.01019843
122.8879,-0.9,1.733817,3.606411,-0.1089509,0.001943248,0.9940149,0.007779063
122.9019,-0.9,1.756723,3.321795,-0.1235706,0.003128092,0.9923102,0.00640431
122.9156,-0.9,1.776435,3.040586,-0.140739,0.004285302,0.9900196,0.005955308
122.9296,-0.9,1.793301,2.75883,-0.1617484,0.00541312,0.9867972,0.006290304
122.9437,-0.9,1.807351,2.471953,-0.1880695,0.00663353,0.9821066,0.007245996
122.9574,-0.9,1.817936,2.193506,-0.2198789,0.00800663,0.9754568,0.008558798
122.9716,-0.9,1.825814,1.901888,-0.2620616,0.009785865,0.9649504,0.009934468
122.9852,-0.9,1.83044,1.618691,-0.315072,0.01194291,0.9489299,0.01091279
