time,posx,posy,posz,rotx,roty,rotz,rotw
82.3595,-0.3,0.2710824,10.16092,0.008703823,0.01864135,0.04092595,0.9989504
82.37305,-0.3,0.3020393,9.891675,0.02081592,0.04449703,0.09990831,0.9937832
82.38708,-0.3,0.3330917,9.612347,0.03167155,0.06755401,0.1569865,0.9847785
82.40088,-0.3,0.362593,9.337296,0.04032853,0.08578029,0.2070056,0.9737372
82.41492,-0.3,0.3915874,9.056963,0.04690402,0.09936206,0.2496666,0.9620779
82.42896,-0.3,0.4195437,8.776416,0.05115036,0.1077431,0.2830526,0.9516598
82.44275,-0.3,0.4460027,8.500891,0.05310188,0.1109871,0.3060851,0.9440201
82.45703,-0.3,0.4723423,8.216339,0.05296122,0.1094126,0.3189091,0.939958
82.47107,-0.3,0.4971844,7.936532,0.04839147,0.09781636,0.3248645,0.9394431
82.48462,-0.3,0.520178,7.665398,0.04222392,0.08261468,0.3304,0.9392698
82.49841,-0.3,0.5425925,7.387872,0.03636258,0.06804276,0.3359043,0.9387313
82.51233,-0.3,0.5641897,7.106432,0.03090699,0.05433985,0.3412732,0.937883
82.52588,-0.3,0.5842385,6.831578,0.026093,0.04203057,0.3463477,0.9368009
82.54004,-0.3,0.6041569,6.542601,0.02156661,0.03021215,0.3512075,0.9355616
82.5542,-0.3,0.6230191,6.253583,0.01761372,0.01954892,0.3557783,0.9341999
82.56824,-0.3,0.6406761,5.968461,0.01423647,0.01002154,0.3599828,0.9327965
82.5824,-0.3,0.6574351,5.679914,0.01135368,0.001404301,0.36381,0.9314029
82.5957,-0.3,0.6722202,5.409096,0.009128652,-0.00575714,0.3671811,0.9300869
82.6095,-0.3,0.6865634,5.12728,0.007293377,-0.01235556,0.370154,0.9288597
82.62317,-0.3,0.6997907,4.846977,0.005911016,-0.0181928,0.3727275,0.9277437
82.63721,-0.3,0.7123477,4.558413,0.004936357,-0.02357573,0.3749127,0.9267471
82.65112,-0.3,0.7237711,4.272042,0.004337944,-0.02853084,0.3766998,0.9258857
82.66541,-0.3,0.7344343,3.977494,0.004057389,-0.03342617,0.3780888,0.9251568
82.67896,-0.3,0.7435575,3.698922,0.00411039,-0.03813114,0.379093,0.9245635
82.69324,-0.3,0.7521268,3.405411,0.004415784,-0.04347499,0.3797051,0.9240749
82.70691,-0.3,0.7593234,3.12314,0.004945668,-0.04924103,0.3799635,0.9236767
82.7207,-0.3,0.7655864,2.83976,0.005792347,-0.05618268,0.3798813,0.9233094
82.7345,-0.3,0.7708472,2.557268,0.006913772,-0.06503326,0.3794669,0.922891
82.74866,-0.3,0.7752051,2.268878,0.008381415,-0.07682323,0.3787185,0.92228
82.76233,-0.3,0.7784106,1.990615,0.01016276,-0.09222626,0.3776501,0.921288
82.77637,-0.3,0.7806773,1.704529,0.01247344,-0.1147513,0.3760957,0.9193632
82.79041,-0.3,0.7819061,1.417202,0.01564463,-0.1486896,0.3736942,0.915423
