time,posx,posy,posz,rotx,roty,rotz,rotw
239.5214,-0.9,0.2841768,10.48117,0.006660735,0.0009459741,-0.1315829,0.9912823
239.5356,-0.9,0.3452723,10.21487,0.01802479,0.002432355,-0.3561044,0.9342691
239.5495,-0.9,0.4035269,9.952644,0.02781728,0.003674213,-0.5499001,0.8347591
239.5632,-0.9,0.4592777,9.693364,0.0355684,0.004710053,-0.7030998,0.7101855
239.5773,-0.9,0.5144837,9.428301,0.04139628,0.005598823,-0.8171213,0.5749503
239.5909,-0.9,0.5662878,9.172118,0.04528854,0.006430452,-0.8912655,0.4511689
239.6054,-0.9,0.6198165,8.898105,0.0479258,0.007124294,-0.9376266,0.3442509
239.619,-0.9,0.6678996,8.642526,0.04948271,0.007778475,-0.9608064,0.2726575
239.633,-0.9,0.715841,8.377,0.05053063,0.008101424,-0.9703388,0.2362704
239.6467,-0.9,0.761198,8.115287,-0.04885921,-0.007351091,0.9705173,-0.2359129
239.6606,-0.9,0.8052007,7.850417,-0.04699281,-0.005933198,0.9681607,-0.2458078
239.6747,-0.9,0.8478935,7.583146,-0.0455079,-0.004312554,0.9650149,-0.2581794
239.6886,-0.9,0.8883483,7.319739,-0.0444768,-0.0026425,0.9615878,-0.2708574
239.7024,-0.9,0.9269556,7.056834,-0.0439144,-0.000923169,0.9580367,-0.2832603
239.7162,-0.9,0.9635687,6.795117,-0.04385906,0.0008551415,0.9544511,-0.2951252
239.7302,-0.9,0.9991267,6.527944,-0.04439382,0.002731697,0.9508397,-0.306473
239.744,-0.9,1.032381,6.263764,-0.04554217,0.004674297,0.947301,-0.3170567
239.7579,-0.9,1.063955,5.999016,-0.04724657,0.006669996,0.9438713,-0.3268491
239.7719,-0.9,1.094154,5.728706,-0.04966664,0.008803859,0.9405703,-0.3358323
239.7861,-0.9,1.122729,5.456121,-0.05282177,0.01106184,0.9374393,-0.3439404
239.7996,-0.9,1.148472,5.193402,-0.05658205,0.01336771,0.9345604,-0.3510222
239.8134,-0.9,1.172787,4.928144,-0.06126888,0.01585821,0.9319144,-0.3571136
239.8272,-0.9,1.195474,4.663202,-0.06699858,0.01861701,0.9295013,-0.3622043
239.8411,-0.9,1.216596,4.395879,-0.07382617,0.02166356,0.9273137,-0.3662917
239.8549,-0.9,1.235826,4.131769,-0.08179753,0.02498033,0.9253386,-0.3693693
239.8687,-0.9,1.25327,3.868623,-0.09108028,0.02860195,0.9235348,-0.3714431
239.8826,-0.9,1.269104,3.600114,-0.1020774,0.0327186,0.9218207,-0.3725001
239.897,-0.9,1.283569,3.320629,-0.1153972,0.03764091,0.9200619,-0.3724953
239.9106,-0.9,1.295605,3.053411,-0.1303784,0.04306821,0.9181933,-0.3715745
239.9247,-0.9,1.306205,2.777769,-0.1488985,0.04960395,0.9158388,-0.3696054
239.9384,-0.9,1.31477,2.511348,-0.170964,0.05715871,0.9127153,-0.3666811
239.9521,-0.9,1.321639,2.245702,-0.1984065,0.06618068,0.9081415,-0.3626762
239.9661,-0.9,1.326894,1.975624,-0.2340065,0.07743743,0.9008964,-0.3572535
239.9798,-0.9,1.330278,1.711098,-0.2782561,0.0915667,0.8897268,-0.3501077
239.9941,-0.9,1.331989,1.430425,-0.3386252,0.110713,0.8704821,-0.3396122
