time,posx,posy,posz,rotx,roty,rotz,rotw
46.53347,-0.3,0.2537545,10.61544,0.0001567116,-0.001913928,-0.011217,0.9999353
46.54731,-0.3,0.3423655,10.34636,0.003738499,-0.04560085,-0.2674274,0.9624912
46.56128,-0.3,0.4292583,10.07438,0.007007819,-0.08256173,-0.4998804,0.8621218
46.57562,-0.3,0.5157599,9.794752,0.009714749,-0.11025,-0.6917424,0.7136128
46.58912,-0.3,0.5946409,9.53136,0.01156303,-0.1261975,-0.8234289,0.5530871
46.60279,-0.3,0.6721053,9.264297,0.01276842,-0.1337761,-0.9091673,0.3941519
46.61683,-0.3,0.7489975,8.990388,0.01346596,-0.1349223,-0.958007,0.2526603
46.63063,-0.3,0.8219844,8.721325,0.0138044,-0.1320546,-0.9803811,0.1456842
46.64462,-0.3,0.89342,8.44843,0.01399568,-0.1273797,-0.988632,0.0786465
46.65867,-0.3,0.9625308,8.174304,-0.01393941,0.1189073,0.9913688,-0.05342878
46.67214,-0.3,1.026274,7.911593,-0.01345548,0.1039808,0.9934987,-0.04435456
46.68606,-0.3,1.089633,7.639766,-0.01312612,0.08957534,0.9951234,-0.03916018
46.69988,-0.3,1.149941,7.369517,-0.01293771,0.07632262,0.9963822,-0.03507286
46.71379,-0.3,1.20807,7.096639,-0.01290515,0.06407981,0.9973683,-0.03136536
46.7277,-0.3,1.263641,6.823253,-0.01306043,0.05297105,0.9981219,-0.02786126
46.74148,-0.3,1.316111,6.552063,-0.01340243,0.04312489,0.9986784,-0.02453903
46.75525,-0.3,1.366014,6.281021,-0.01394146,0.03444155,0.9990805,-0.02139194
46.76928,-0.3,1.414247,6.005958,-0.01472328,0.02675631,0.9993641,-0.01840743
46.78292,-0.3,1.458618,5.739426,-0.01578653,0.0203869,0.9995451,-0.01564663
46.79723,-0.3,1.502474,5.460876,-0.01725172,0.01485319,0.9996554,-0.01307333
46.81094,-0.3,1.541936,5.193315,-0.0189017,0.01062545,0.9997072,-0.01074225
46.82468,-0.3,1.578963,4.924203,-0.02078704,0.007385342,0.9997191,-0.008659896
46.83826,-0.3,1.613076,4.656663,-0.02291696,0.005090239,0.9997011,-0.006835536
46.85247,-0.3,1.646137,4.376408,-0.02554943,0.003574693,0.9996533,-0.005260579
46.86674,-0.3,1.676604,4.094147,-0.02855415,0.002879846,0.9995803,-0.003945924
46.88022,-0.3,1.702891,3.828247,-0.03171808,0.002837115,0.9994886,-0.002906688
46.89422,-0.3,1.727616,3.555001,-0.0354081,0.003258608,0.9993653,-0.002140064
46.90827,-0.3,1.749787,3.282226,-0.03989341,0.004160794,0.999194,-0.001634471
46.92183,-0.3,1.768693,3.016999,-0.04496983,0.005539097,0.9989721,-0.001365511
46.93563,-0.3,1.785403,2.744844,-0.05116377,0.007331403,0.9986625,-0.001315364
46.95003,-0.3,1.800117,2.460105,-0.05907594,0.009539286,0.9982069,-0.001459687
46.96403,-0.3,1.811767,2.180986,-0.06897792,0.01198088,0.9975447,-0.001758885
46.97737,-0.3,1.820426,1.914372,-0.08149785,0.01462146,0.996564,-0.002152286
