time,posx,posy,posz,rotx,roty,rotz,rotw
11.50206,-0.3,0.2600635,6.870115,-0.007230355,-0.0007163559,0.001940572,0.9999717
11.5126,-0.3,0.289449,6.728426,-0.02793335,-0.002798554,0.007565268,0.9995773
11.52365,-0.3,0.3195632,6.58019,-0.04816082,-0.004897823,0.01338635,0.9987379
11.5345,-0.3,0.3484647,6.434827,-0.06619041,-0.006849468,0.01892435,0.997604
11.5459,-0.3,0.3781123,6.282343,-0.08282787,-0.008756879,0.02438781,0.996227
11.55768,-0.3,0.40798,6.125021,-0.09724574,-0.01055227,0.02957655,0.9947649
11.56812,-0.3,0.4337871,5.985841,-0.1074886,-0.01198424,0.03381187,0.9935589
11.57912,-0.3,0.4603232,5.839389,-0.1155988,-0.01332006,0.03761287,0.9924943
11.59109,-0.3,0.4884362,5.680259,-0.1212517,-0.01457144,0.04099086,0.991668
11.6026,-0.3,0.5146748,5.527694,-0.1235962,-0.01558303,0.04354871,0.9912541
11.61273,-0.3,0.5371614,5.39359,-0.1232331,-0.01631693,0.04518125,0.9912144
11.62424,-0.3,0.5619918,5.24153,-0.1199194,-0.01696505,0.04605045,0.9915699
11.63437,-0.3,0.5832382,5.107875,-0.1084783,-0.01692828,0.04442946,0.9929612
11.64655,-0.3,0.6080042,4.947507,-0.09526162,-0.01695238,0.04174064,0.9944323
11.65779,-0.3,0.6301318,4.799671,-0.08362456,-0.017057,0.03887885,0.9955925
11.66867,-0.3,0.6508582,4.656837,-0.07292968,-0.01724317,0.03605746,0.9965359
11.67961,-0.3,0.6710255,4.513477,-0.06276262,-0.01752015,0.03327404,0.9973198
11.69121,-0.3,0.6916631,4.361838,-0.05265258,-0.01792162,0.03045464,0.9979875
11.70152,-0.3,0.7093804,4.227155,-0.0442402,-0.01836886,0.02781139,0.9984648
11.71219,-0.3,0.7270676,4.088171,-0.03613392,-0.01893975,0.02526668,0.998848
11.72356,-0.3,0.7452103,3.940229,-0.02815829,-0.01967618,0.02273848,0.9991511
11.73445,-0.3,0.761912,3.798767,-0.02114259,-0.02050354,0.02031437,0.9993598
11.74576,-0.3,0.7785353,3.652197,-0.01450536,-0.02149967,0.01797824,0.9995019
11.75792,-0.3,0.7956076,3.494764,-0.008080572,-0.02273024,0.01569155,0.9995859
11.76935,-0.3,0.8108892,3.347115,-0.002676167,-0.02404223,0.01354771,0.9996156
11.78044,-0.3,0.8250152,3.203852,0.00200988,-0.02550325,0.01158585,0.9996056
11.79373,-0.3,0.8410227,3.032536,0.006936325,-0.02745819,0.009715049,0.9995517
11.8037,-0.3,0.8523682,2.904104,0.01020367,-0.02907673,0.008071057,0.9994925
11.81607,-0.3,0.8656772,2.744856,0.01377353,-0.0313097,0.006604669,0.999393
11.8262,-0.3,0.8759287,2.614584,0.01636962,-0.03332693,0.005338097,0.9992962
11.83759,-0.3,0.8867536,2.468409,0.01897523,-0.03581657,0.004264559,0.9991691
11.84796,-0.3,0.8959821,2.33532,0.02112995,-0.03833844,0.003374044,0.9990357
11.86002,-0.3,0.9059388,2.180994,0.02343956,-0.04160919,0.002671142,0.9988554
11.87115,-0.3,0.9144086,2.038738,0.02547783,-0.04497966,0.002144801,0.9986607
11.88254,-0.3,0.9223388,1.893577,0.02755575,-0.04882123,0.001803427,0.9984257
11.89404,-0.3,0.9296092,1.747094,0.02975217,-0.05320313,0.001643396,0.9981391
11.90424,-0.3,0.9354249,1.617524,0.03187224,-0.05750848,0.001635818,0.9978348
11.9153,-0.3,0.9410717,1.477273,0.03447241,-0.06283622,0.001791724,0.9974267
11.92618,-0.3,0.9459499,1.339697,0.0374547,-0.06877588,0.002090978,0.9969266
11.93735,-0.3,0.9502614,1.198874,0.04111753,-0.07587694,0.002521958,0.9962659
11.94812,-0.3,0.9537512,1.063166,0.04540893,-0.08384911,0.003052239,0.9954386
11.95891,-0.3,0.9565881,0.9277592,0.0506736,-0.09318155,0.00365907,0.9943521
11.97055,-0.3,0.9589111,0.7818251,0.0578028,-0.105382,0.00432497,0.992741
