time,posx,posy,posz,rotx,roty,rotz,rotw
21.10017,-0.3,0.2547399,6.895707,-0.0001636743,-0.002986584,0.002141282,0.9999933
21.11249,-0.3,0.2891282,6.73182,-0.001314912,-0.0242966,0.01746084,0.9995515
21.12343,-0.3,0.3189617,6.586426,-0.002248561,-0.04196857,0.03088087,0.998639
21.13435,-0.3,0.3480779,6.44144,-0.00306671,-0.05808859,0.04367539,0.9973509
21.1454,-0.3,0.3768328,6.295063,-0.003755484,-0.0725603,0.05577303,0.9957963
21.15628,-0.3,0.4044762,6.151124,-0.004280306,-0.08480364,0.06668506,0.9941545
21.1682,-0.3,0.4339875,5.993703,-0.004660279,-0.09574857,0.07708618,0.9924053
21.17868,-0.3,0.4592827,5.855452,-0.00482568,-0.1031627,0.08514491,0.9910018
21.18979,-0.3,0.4854091,5.709132,-0.004811748,-0.1087148,0.09192172,0.9898022
21.20099,-0.3,0.5110442,5.561858,-0.004604966,-0.1119449,0.09708893,0.9889494
21.21341,-0.3,0.5386435,5.398749,-0.004148672,-0.1128319,0.1006505,0.9884945
21.22369,-0.3,0.5608354,5.263969,-0.003602845,-0.1115425,0.1021213,0.9884921
21.23463,-0.3,0.5837864,5.12086,-0.002382008,-0.1024147,0.09752822,0.9899464
21.24544,-0.3,0.605785,4.979737,-0.001147522,-0.09369858,0.0915277,0.9913839
21.25685,-0.3,0.6283091,4.830847,0.000146135,-0.08499819,0.08495577,0.9927527
21.26781,-0.3,0.6492366,4.688246,0.001376988,-0.07717581,0.07847431,0.9939234
21.27855,-0.3,0.6690968,4.54858,0.002567909,-0.07003079,0.07218109,0.9949266
21.29042,-0.3,0.6902854,4.394596,0.003859077,-0.06277689,0.06566127,0.9958578
21.30132,-0.3,0.7090293,4.253471,0.005040297,-0.05671605,0.05951768,0.996602
21.31235,-0.3,0.7273253,4.110766,0.006220459,-0.05118634,0.05360466,0.9972301
21.32335,-0.3,0.7448851,3.968652,0.007388882,-0.0462845,0.0479393,0.99775
21.33455,-0.3,0.7620581,3.824258,0.008570251,-0.04192715,0.04248765,0.9981801
21.34518,-0.3,0.7777087,3.687364,0.009696289,-0.0383792,0.0374233,0.9985152
21.35658,-0.3,0.7937716,3.540866,0.01089904,-0.03522279,0.03255146,0.9987898
21.36708,-0.3,0.8079156,3.406142,0.01202271,-0.03288323,0.02810832,0.9989915
21.37813,-0.3,0.8221265,3.264504,0.01321712,-0.03102082,0.02396224,0.9991441
21.39026,-0.3,0.8369358,3.109279,0.01455223,-0.02966563,0.0200227,0.9992534
21.40065,-0.3,0.8489594,2.976547,0.01574649,-0.0290492,0.01656819,0.9993166
21.41249,-0.3,0.8619159,2.825657,0.0171496,-0.0289566,0.01343234,0.9993433
21.42365,-0.3,0.8733955,2.683772,0.0185463,-0.02943918,0.01070355,0.9993372
21.43454,-0.3,0.8839287,2.54543,0.01998959,-0.03043043,0.008388809,0.9993018
21.44559,-0.3,0.8939238,2.405454,0.02155101,-0.03194339,0.006470246,0.9992363
21.45689,-0.3,0.9034387,2.262408,0.02327506,-0.03401601,0.004938253,0.9991381
21.46782,-0.3,0.9119456,2.124443,0.02509359,-0.03652083,0.003786758,0.9990106
21.47858,-0.3,0.9196621,1.988845,0.02706129,-0.03945655,0.002998934,0.9988503
21.4893,-0.3,0.9267048,1.853772,0.02923377,-0.04288617,0.002553417,0.9986489
21.50055,-0.3,0.9333891,1.712372,0.03178581,-0.04704513,0.002441238,0.9983839
21.51273,-0.3,0.9398201,1.55964,0.03493575,-0.05226433,0.002661739,0.9980184
21.52367,-0.3,0.944883,1.42264,0.03820274,-0.0576416,0.003133265,0.9976012
21.5341,-0.3,0.9490817,1.292341,0.04180372,-0.0634579,0.00380487,0.9971014
21.54576,-0.3,0.953043,1.147014,0.04652397,-0.07097544,0.004663355,0.9963816
21.55655,-0.3,0.9560239,1.012665,0.05172023,-0.07906999,0.00560361,0.9955107
21.56783,-0.3,0.958436,0.8725425,0.05827994,-0.0890128,0.006563522,0.9943023
